driver_id,customer_id,driver_gmv_of_customer,n_trips,customer_total_gmv,gmv_concentration,n_promo_orders,n_fake,fake_rate,fake_rate_reliable,n_rated_by_customer,n_rated_by_driver,pct_rate_customer_is_5,pct_rate_driver_is_5,mutual_perfect_rating,fake_trip_discount,if_score_percentile,vae_rank_pct,lof_score_percentile
0003aca29cf35a82,1156f0463720eb9d,1687000.0,10,1687000.0,1.0,1,1,1.0,False,5,9,1.0,1.0,True,4000.0,0.024893235440464217,0.07425730169355615,0.14784877914323455
0053904b72037a9f,831c6fef12422083,5849000.0,17,5893000.0,0.9925335143390464,16,15,0.9375,True,6,2,1.0,1.0,True,1422000.0,0.00019151396262077013,0.0004474625294877965,0.006837227450573289
005f4236916ac796,089fa01d120d48eb,4116000.0,16,4839000.0,0.8505889646621203,1,1,1.0,False,16,16,1.0,1.0,True,95000.0,0.008630657268760314,0.022756154399630524,0.1527064323633539
0076db278ef1aa9c,f35fc6cb333810e5,3182000.0,15,3820000.0,0.8329842931937173,2,1,0.5,False,4,15,1.0,1.0,True,81000.0,0.008218991741631555,0.01663844669647363,0.2687603140113047
008d070124fec68e,b7bb2ba5928e0dac,3073000.0,11,3249000.0,0.9458294859956908,2,1,0.5,False,7,11,1.0,1.0,True,30000.0,0.01836386221017852,0.02748493841125743,0.09937963794911814
00931985068c424a,ce019f2f6d8919b5,2966000.0,15,3201000.0,0.9265854420493596,6,2,0.3333333333333333,True,0,14,,0.0,False,94000.0,0.0019724148299821373,0.022885023608123056,0.13268158924371673
00f55bdc59522fab,8c73aa6ea8029840,1697000.0,18,1839000.0,0.922784121805329,10,1,0.1,True,8,0,1.0,,False,6000.0,0.00746009529162028,0.023038950718266893,0.08729099025247626
00fca979caf6ac13,471ef144a3f486c6,6518000.0,17,6518000.0,1.0,5,3,0.6,True,11,17,1.0,1.0,True,127000.0,0.00580269408239754,0.007599703600820518,0.3502235522797321
00ffb59eff79ffee,a11849f7525e3fe9,1889000.0,18,2000000.0,0.9445,3,1,0.3333333333333333,True,6,18,1.0,1.0,True,20000.0,0.0069231402562349425,0.023522210250113695,0.06898082354583628
02120e1d17fa92e9,b9a158e9775155e9,4270000.0,36,4270000.0,1.0,11,4,0.3636363636363636,True,7,32,1.0,1.0,True,81000.0,0.0011204461738374028,0.009990943358403115,0.01750115445332608
0257ad0248844f15,c1e0a47c96414c26,5136000.0,18,5650000.0,0.9090265486725664,8,1,0.125,True,12,0,1.0,,False,119000.0,0.0007553167497753739,0.004438828292518737,0.06817181129252237
02661eba28d6ccb7,1f24da76796a531d,3985000.0,22,3985000.0,1.0,7,6,0.8571428571428571,True,11,0,1.0,,False,251000.0,0.00012170980802067635,0.0016896185113458584,0.2070784992464731
